# train length : 91
[i] iter = 1000, loss = 0.0463, train_time = 15sec
[i] iter = 2000, loss = 0.0245, train_time = 9sec
[i] iter = 3000, loss = 0.0187, train_time = 8sec
[i] iter = 4000, loss = 0.0155, train_time = 8sec
[i] iter = 5000, loss = 0.0136, train_time = 9sec
[i] iter = 6000, loss = 0.0122, train_time = 8sec
[i] iter = 7000, loss = 0.0115, train_time = 8sec
[i] iter = 8000, loss = 0.0107, train_time = 9sec
[i] iter = 9000, loss = 0.0102, train_time = 8sec
[i] iter = 10000, loss = 0.0099, train_time = 9sec
[i] iter = 11000, loss = 0.0096, train_time = 9sec
[i] iter = 12000, loss = 0.0092, train_time = 9sec
[i] iter = 13000, loss = 0.0090, train_time = 8sec
[i] iter = 14000, loss = 0.0088, train_time = 9sec
[i] iter = 15000, loss = 0.0086, train_time = 8sec
[i] iter = 16000, loss = 0.0085, train_time = 9sec
[i] iter = 17000, loss = 0.0083, train_time = 8sec
[i] iter = 18000, loss = 0.0083, train_time = 9sec
[i] iter = 19000, loss = 0.0081, train_time = 8sec
[i] iter = 20000, loss = 0.0083, train_time = 8sec
[i] iter = 21000, loss = 0.0080, train_time = 9sec
[i] iter = 22000, loss = 0.0077, train_time = 8sec
[i] iter = 23000, loss = 0.0077, train_time = 8sec
[i] iter = 24000, loss = 0.0078, train_time = 8sec
[i] iter = 25000, loss = 0.0077, train_time = 8sec
[i] iter = 26000, loss = 0.0077, train_time = 9sec
[i] iter = 27000, loss = 0.0076, train_time = 9sec
[i] iter = 28000, loss = 0.0076, train_time = 9sec
[i] iter = 29000, loss = 0.0074, train_time = 9sec
[i] iter = 30000, loss = 0.0074, train_time = 9sec
[i] iter = 31000, loss = 0.0074, train_time = 9sec
[i] iter = 32000, loss = 0.0074, train_time = 9sec
[i] iter = 33000, loss = 0.0072, train_time = 8sec
[i] iter = 34000, loss = 0.0073, train_time = 9sec
[i] iter = 35000, loss = 0.0072, train_time = 8sec
[i] iter = 36000, loss = 0.0071, train_time = 8sec
[i] iter = 37000, loss = 0.0071, train_time = 9sec
[i] iter = 38000, loss = 0.0073, train_time = 8sec
[i] iter = 39000, loss = 0.0072, train_time = 9sec
[i] iter = 40000, loss = 0.0071, train_time = 8sec
[i] iter = 41000, loss = 0.0072, train_time = 9sec
[i] iter = 42000, loss = 0.0070, train_time = 8sec
[i] iter = 43000, loss = 0.0070, train_time = 8sec
